,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
1205,We mostly play with paper; we make records in triplicate then duplicate them; we occupy ourselves making work and obstructing those who produce wealth.,05 Engineering and Business: Business,Product,wealth,,produce,wealth,Wealth,produce,Factory,3043777,,
428,"They've been able to hold off new gun control in New York thanks to a Republican controlled senate, but after 2008, there's a real danger of the state sinking into the gun control abyss if the Democrats regain control.",02 Journey,Agent,New York,,,gun control,Control of Guns,abyss,Abyss,2376897,,
1731,"""Jane of the Jungle: Feminist art troupe the Guerrilla Girls attempts to unmask inequalities"".",14 Embodied Experience: Clothing,Body,inequalities,unmask [body],unmask,inequalities,Poverty,unmask,Clothing,2674669,,
1247,"Israeli Ambassador to the U.S. Daniel Ayalon told CNN Thursday night that Israel's attacks are intended to ""de-fang the Hezbollah so that they will not have the capabilities to launch their rockets ... and hopefully this will strengthen the Lebanese government so that they will exercise their sovereignty"" in the south of the country, where Hezbollah is virtually autonomous.",05 Engineering and Business: Engineering,Built,government,,strengthen,government,Government,strengthen,Building/Strength,465146,,
982,"That firearm organisations were and still are ineffective, useless and have no idea of how to combat gun control.",03 Conflict,Side,gun control,,combat,gun control,Control of Guns,combat,War,2703621,,
1644,"When approaching the legislature for funding, we are more likely to receive aid if we are at the peak of taxation.",12 High and Low,Level,HIGH,,peak,taxation,Taxation,peak,High Location,158544,,
908,"This time of year, government agencies are racing to spend the remainder of their annual budgets by the end of their fiscal year on Sept. 30.	Conflict	Side	government agencies		racing	government agencies		racing		2377547	
We are prepared to make this the biggest taxpayer battle since Proposition 13.	Conflict	Side	taxpayer		battle	taxpayer	Taxpayers	battle	War	2377898	
He attacks corporations, he attacks those who've worked hard to accumulate wealth for their families (good for them!), he attacks the banking industry, he attacks taxpayers by raising taxes.	Conflict	Side	taxpayers		attacks	taxpayers	Taxpayers	attacks	War	2377903	
It was a kind of election revolution achieved through the ardent wishes of the Korean people who eagerly anticipated the dawning of a new age.	Conflict	Side	election		revolution	election	Elections	revolution	War	2377985	
April 15, 1998 As taxpayers wrestle with confusing forms and worry that an innocent mistake could leave them bullied and broke, Congress is on the verge of reining in a dreaded behemoth, the Internal Revenue Service.	Conflict	Side	taxpayers		wrestle	taxpayers	Taxpayers	wrestle	Competition	2378051	
Gun rights occupy an entrenched position in this culture, and making progress will not be easy.	Conflict	Side	Gun rights		occupy	Gun rights	Gun Rights	occupy	Physical Location	2378681	
That means that we must remain firm in our commitment to defeat gun control at every turn.	Conflict	Side	gun control		defeat	gun control	Control Of Guns	defeat	Struggle	2378716	
Biden came out today and said that President Obama may act alone with a series of executive orders to combat gun control.	Conflict	Side	gun control		combat	gun control	Control Of Guns	combat	War	2378742	
Thanks to the gun control blitzkrieg led by Democratic lawmakers last year, Colorado is about to take a hit in the wallet in the midst of an already anemic economy, and lose hundreds of private-sector jobs at a time when they can least afford it.	Conflict	Side	gun control	[side] blitzkrieg	blitzkrieg	gun control	Control of Guns	blitzkrieg	War	2378748	
In a statement issued before the Friday's rally, Hamas acknowledged difficulties in the year since its election triumph.	Conflict	Side	election		triumph	election	Elections	triumph	Competition	2389396	hamas is winner
Together with individuals and local groups in more than 120 countries, Oxfam saves lives, helps people overcome poverty, and fights for social justice.	Conflict	Side	poverty		overcome	poverty	Poverty	overcome	War/Struggle	2403423	
Preserve, protect and defend the right to bear arms.	Conflict	Side	the right to bear arms		defend	the right to bear arms	Gun Rights	defend	Protection	2407551	
Alex Torpey, a twenty-four-year-old with a breakthrough vision for using technology to improve government, ran for mayor of South Orange, New Jersey and defeated the far older incumbent.	Conflict	Side	incumbent		defeated	incumbent	Government	defeated	War/Competition	2408873	
For 12 years, Alex fought for gun rights as a state senator and consistently stood up for law-abiding gun owners.	Conflict	Side	gun rights	fought for [side]	fought for	gun rights	Gun Rights	fought	Struggle/War	2409147	
Paul Polakfounder of Colorado-based non-profit International Development Enterprises (IDE)is dedicated to developing practical solutions that attack poverty at its roots.	Conflict	Side	poverty		attack	poverty	Poverty	attack	War/Struggle	2451006	
Opportunity Link seeks to unite people, link resources, and fight poverty in eleven North-central Montana counties.	Conflict	Side	poverty		fight	poverty	Poverty	fight	Struggle	2453492	
Logical fallacy of the Left: You can't stop gun violence by attacking guns	Conflict	Side	guns		attacking	guns	Guns	attacking	War/Struggle	2461038	
The government - faced with more than 22% unemployment in the mid-90's - let more than 25% of all workers go on part time contracts with less job protection, by 2001.	Conflict	Side	government		faced	government	Government	faced	Human Body	2461985	
TIM CARNEY: Obama should blame Tea Party, not NRA, for gun control defeatâ€_.	Conflict	Side	gun control		defeat	gun control	Control Of Guns	defeat	War/Struggle	2538043	
As do those who oppose gun control.	Conflict	Side	gun control		oppose	gun control	Control Of Guns	oppose	Struggle	2612101	
; to spend your time on the range or in the field, rather than fighting gun control""?",03 Conflict,Side,gun control,,fighting,gun control,Control of Guns,fighting,Struggle,2620370,,
1526,"Then the old Rome, like the beggar on horseback, presumed on the favor of the gods, and said, ""Lo! there is neither riches nor greatness in our littleness: the road to riches and greatness is through robbery of the poor and slaughter of the weak.""",06 Morality and Justice,Victim,the poor,,robbery,the poor,Poverty,robbery,Theft,2578015,,
826,It completely glosses over the abject surrender of government from the policy making exercise.,03 Conflict,Loser,government,,surrender,government,Government,surrender,War,3120605,,
620,"Two leading astrologers, Chris Brennan and Patrick Watson, in their article titled Prediction for the 2012 US Presidential Election published on April 29, 2012, said that ""both candidates go into important ""peak periods"" in the summer prior to the election, but that Romney begins a more difficult sub-period starting in mid-October, right before the second debate, ultimately resulting in the loss of the election in November.""",03 Conflict,Conflict,election,,loss,election,Elections,loss,Game,3118907,,
1369,We know that this democracy disintegrated following the rise of capitalist trade and monarchical absolutism.,05 Engineering and Business: Resource,Resource,democracy,,disintegrated,democracy,Democracy,disintegrated,Physical Harm,3036759,,
384,The GOP protects the rich at all cost and are willing to sink the whole ship to do it.,01 Health and Safety,Threatened,the rich,,protects,the rich,Wealth,protects,Protection,3519110,,
757,This thread points out the father like all of the rest of the anti-gun people skip over the facts and reality and jump right to teh eeeeevil guns owe da horrra!!! Im sure the first three victims that had their ****ing skulls bashed and were stabbed to death...their families can take comfort in knowing that the anti-gun crowd will ignore them and use the entire event as a springboard to attack guns.,03 Conflict,Enemy,guns,,attack,guns,Guns,attack,Struggle/War,2668650,,
1567,"And baby, the purveyors of that distraction and division will have the blood of a butchered democracy on their greedy hands.",09 Animals,Domesticated Animal,democracy,butchered [domesticated animal],butchered,democracy,Democracy,butchered,Animal/Physical Harm,761438,,
206,"I promise, the junior-level civil servants and military types know very, very well how the bureaucracy damages the entire system.",01 Health and Safety,Threat,bureaucracy,,damages,bureaucracy,Bureaucracy,damages,Physical Harm,3120053,,
121,"In an uncertain environment such as Obama has brought us, the additional taxes can be very inhibiting - particularly for those businesses that would otherwise be expanding and hiring.",01 Health and Safety,Threat,taxes,,inhibiting,taxes,Taxation,inhibiting,Confinement,53561,,
1283,"But over years and decades, social media will enhance democracy.",05 Engineering and Business: Engineering,Built,democracy,,enhance,democracy,Democracy,enhance,Movement/Upward Movement,2661473,,
416,But gun control is theft - plain and simple - and I intend to attack gun control without talking specifically about guns.,01 Health and Safety,Threatened,gun control,,attack,gun control,Control of Guns,attack,War,2669240,,
214,"More than ever before, government is destroying private enterprise on the one hand, and offering permanent dependency on the other hand.",01 Health and Safety,Threat,government,,destroying,government,Government,destroying,Physical Harm,3236186,,
